net_name,driver_pin,sink_pins,fanout
crac_rd_done,u15_crac_rd_done_reg/Q,"['fanout414/A', 'g193559/B2', 'g193561/B2', 'g169477/B', 'g159011/A2']",5
crac_wr,u15_crac_wr_reg/QN,"['g188085/B2', 'g159575/A', 'g159295/A', 'g154123__175580/A2']",4
dma_ack_i[0],,['input2/A'],1
dma_ack_i[1],,['input3/A'],1
dma_ack_i[2],,['input4/A'],1
dma_ack_i[3],,['input5/A'],1
dma_ack_i[4],,['input6/A'],1
dma_ack_i[5],,['input7/A'],1
dma_ack_i[6],,['input8/A'],1
dma_ack_i[7],,['input9/A'],1
dma_ack_i[8],,['input10/A'],1
dma_req_o[0],,[],0
dma_req_o[1],,[],0
dma_req_o[2],,[],0
dma_req_o[3],,[],0
dma_req_o[4],,[],0
dma_req_o[5],,[],0
dma_req_o[6],,[],0
dma_req_o[7],,[],0
dma_req_o[8],,[],0
i3_dout[0],u9_dout_reg\[0\]/Q,['g163757/B1'],1
i3_dout[10],u9_dout_reg\[10\]/Q,['g170001/B1'],1
i3_dout[11],u9_dout_reg\[11\]/Q,[],0
i3_dout[12],u9_dout_reg\[12\]/Q,[],0
i3_dout[13],u9_dout_reg\[13\]/Q,['g451/A2'],1
i3_dout[14],u9_dout_reg\[14\]/Q,[],0
i3_dout[15],u9_dout_reg\[15\]/Q,['g202337/B1'],1
i3_dout[16],u9_dout_reg\[16\]/Q,['g213145/A'],1
i3_dout[17],u9_dout_reg\[17\]/Q,['g163752/B1'],1
i3_dout[18],u9_dout_reg\[18\]/Q,['g487/C1'],1
i3_dout[19],u9_dout_reg\[19\]/Q,['g434/B1'],1
i3_dout[1],u9_dout_reg\[1\]/Q,['g163774/A2'],1
i3_dout[20],u9_dout_reg\[20\]/Q,['g157331/A'],1
i3_dout[21],u9_dout_reg\[21\]/Q,['g157332/A'],1
i3_dout[22],u9_dout_reg\[22\]/Q,['g157333/A'],1
i3_dout[23],u9_dout_reg\[23\]/Q,[],0
i3_dout[24],u9_dout_reg\[24\]/Q,['g163768/A2'],1
i3_dout[25],u9_dout_reg\[25\]/Q,['g157334/A'],1
i3_dout[26],u9_dout_reg\[26\]/Q,['g157335/A'],1
i3_dout[27],u9_dout_reg\[27\]/Q,['g116/A'],1
i3_dout[28],u9_dout_reg\[28\]/Q,['g157337/A'],1
i3_dout[29],u9_dout_reg\[29\]/Q,['g163776/A2'],1
i3_dout[2],u9_dout_reg\[2\]/Q,['g163758/B1'],1
i3_dout[30],u9_dout_reg\[30\]/Q,['g163775/A2'],1
i3_dout[31],u9_dout_reg\[31\]/Q,[],0
i3_dout[3],u9_dout_reg\[3\]/Q,['g112/B'],1
i3_dout[4],u9_dout_reg\[4\]/Q,['g163759/B1'],1
i3_dout[5],u9_dout_reg\[5\]/Q,['g429/A2'],1
i3_dout[6],u9_dout_reg\[6\]/Q,['g163754/B1'],1
i3_dout[7],u9_dout_reg\[7\]/Q,['g163756/B1'],1
i3_dout[8],u9_dout_reg\[8\]/Q,[],0
i3_dout[9],u9_dout_reg\[9\]/Q,['g163762/B1'],1
i3_empty,u9_empty_reg/QN,['g156715/A2'],1
i3_full,u9_full_reg/QN,['g157343/A'],1
i3_re,u12_i3_re_reg/QN,"['g168964/B', 'g167058/A3', 'g157293/C', 'g157280/B', 'g156715/A1', 'g156701/A1']",6
i3_status[0],u9_status_reg\[0\]/QN,"['g157067/A2', 'g156993/A2']",2
i3_status[1],u9_status_reg\[1\]/QN,"['g157067/B', 'g156993/A3']",2
i4_dout[0],u10_dout_reg\[0\]/Q,['g156983/B1'],1
i4_dout[10],u10_dout_reg\[10\]/Q,['g170002/B1'],1
i4_dout[11],u10_dout_reg\[11\]/Q,['g163706/B1'],1
i4_dout[12],u10_dout_reg\[12\]/Q,['g156982/B1'],1
i4_dout[13],u10_dout_reg\[13\]/Q,['g606/B2'],1
i4_dout[14],u10_dout_reg\[14\]/Q,['g198086/B1'],1
i4_dout[15],u10_dout_reg\[15\]/Q,['g202338/B1'],1
i4_dout[16],u10_dout_reg\[16\]/Q,['g200638/A1'],1
i4_dout[17],u10_dout_reg\[17\]/Q,['g157221/A'],1
i4_dout[18],u10_dout_reg\[18\]/Q,['g487/A2'],1
i4_dout[19],u10_dout_reg\[19\]/Q,['g434/A2'],1
i4_dout[1],u10_dout_reg\[1\]/Q,['g157220/A'],1
i4_dout[20],u10_dout_reg\[20\]/Q,['g157215/B'],1
i4_dout[21],u10_dout_reg\[21\]/Q,[],0
i4_dout[22],u10_dout_reg\[22\]/Q,[],0
i4_dout[23],u10_dout_reg\[23\]/QN,[],0
i4_dout[24],u10_dout_reg\[24\]/Q,['g163768/B2'],1
i4_dout[25],u10_dout_reg\[25\]/Q,[],0
i4_dout[26],u10_dout_reg\[26\]/Q,['g157270/B'],1
i4_dout[27],u10_dout_reg\[27\]/Q,[],0
i4_dout[28],u10_dout_reg\[28\]/Q,['g157224/B'],1
i4_dout[29],u10_dout_reg\[29\]/Q,['g163776/B2'],1
i4_dout[2],u10_dout_reg\[2\]/Q,['g156981/B1'],1
i4_dout[30],u10_dout_reg\[30\]/Q,['g163775/B2'],1
i4_dout[31],u10_dout_reg\[31\]/Q,['g157073/B2'],1
i4_dout[3],u10_dout_reg\[3\]/Q,['g110/A2'],1
i4_dout[4],u10_dout_reg\[4\]/Q,['g156986/B1'],1
i4_dout[5],u10_dout_reg\[5\]/Q,['g181767/B2'],1
i4_dout[6],u10_dout_reg\[6\]/Q,['g171441/A1'],1
i4_dout[7],u10_dout_reg\[7\]/Q,['g156984/B1'],1
i4_dout[8],u10_dout_reg\[8\]/Q,['g171437/A1'],1
i4_dout[9],u10_dout_reg\[9\]/Q,['g172003/B2'],1
i4_empty,u10_empty_reg/QN,['g156713/A2'],1
i4_full,u10_full_reg/QN,[],0
i4_re,u12_i4_re_reg/QN,"['g200646/A', 'g197827/A2', 'g175269/B', 'g175268/A1', 'g156713/A1']",5
i4_status[0],u10_status_reg\[0\]/QN,"['g267/A3', 'g266/A1']",2
i4_status[1],u10_status_reg\[1\]/QN,"['g267/A2', 'g266/B']",2
i6_dout[0],u11_dout_reg\[0\]/Q,['g163757/A1'],1
i6_dout[10],u11_dout_reg\[10\]/Q,['g170001/A1'],1
i6_dout[11],u11_dout_reg\[11\]/Q,['g163706/A1'],1
i6_dout[12],u11_dout_reg\[12\]/Q,[],0
i6_dout[13],u11_dout_reg\[13\]/Q,['g451/B2'],1
i6_dout[14],u11_dout_reg\[14\]/Q,[],0
i6_dout[15],u11_dout_reg\[15\]/Q,['g202337/A1'],1
i6_dout[16],u11_dout_reg\[16\]/Q,[],0
i6_dout[17],u11_dout_reg\[17\]/Q,['g163752/A1'],1
i6_dout[18],u11_dout_reg\[18\]/Q,['g487/B1'],1
i6_dout[19],u11_dout_reg\[19\]/Q,['g434/C1'],1
i6_dout[1],u11_dout_reg\[1\]/Q,['g92/B1'],1
i6_dout[20],u11_dout_reg\[20\]/Q,[],0
i6_dout[21],u11_dout_reg\[21\]/Q,[],0
i6_dout[22],u11_dout_reg\[22\]/Q,[],0
i6_dout[23],u11_dout_reg\[23\]/Q,[],0
i6_dout[24],u11_dout_reg\[24\]/Q,[],0
i6_dout[25],u11_dout_reg\[25\]/Q,[],0
i6_dout[26],u11_dout_reg\[26\]/Q,[],0
i6_dout[27],u11_dout_reg\[27\]/Q,[],0
i6_dout[28],u11_dout_reg\[28\]/Q,[],0
i6_dout[29],u11_dout_reg\[29\]/Q,['g157339/A'],1
i6_dout[2],u11_dout_reg\[2\]/Q,['g163758/A1'],1
i6_dout[30],u11_dout_reg\[30\]/Q,['g155/A'],1
i6_dout[31],u11_dout_reg\[31\]/Q,['g157073/A2'],1
i6_dout[3],u11_dout_reg\[3\]/Q,['g110/B1'],1
i6_dout[4],u11_dout_reg\[4\]/Q,['g163759/A1'],1
i6_dout[5],u11_dout_reg\[5\]/Q,['g429/B2'],1
i6_dout[6],u11_dout_reg\[6\]/Q,['g163754/A1'],1
i6_dout[7],u11_dout_reg\[7\]/Q,['g163756/A1'],1
i6_dout[8],u11_dout_reg\[8\]/Q,[],0
i6_dout[9],u11_dout_reg\[9\]/Q,['g163762/A1'],1
i6_empty,u11_empty_reg/QN,['g156714/A2'],1
i6_full,u11_full_reg/QN,['g157347/A'],1
i6_re,u12_i6_re_reg/QN,"['g196701/B', 'g167023/A3', 'g157294/C', 'g157281/B', 'g156714/A1', 'g156703/A1']",6
i6_status[0],u11_status_reg\[0\]/QN,['g156995/A2'],1
i6_status[1],u11_status_reg\[1\]/QN,['g156995/A3'],1
ic0_cfg[0],u13_icc_r_reg\[0\]/QN,['g60/A'],1
ic0_cfg[1],u13_icc_r_reg\[1\]/QN,"['g180238/A', 'g169254/B1']",2
ic0_cfg[2],u13_icc_r_reg\[2\]/QN,"['g159909/A', 'g159907/A']",2
ic0_cfg[3],u13_icc_r_reg\[3\]/QN,['g160028/A'],1
ic0_cfg[4],u13_icc_r_reg\[4\]/QN,"['g159518/A', 'g157067/A1', 'g156993/A1']",3
ic0_cfg[5],u13_icc_r_reg\[5\]/QN,['g157067/C'],1
ic0_cfg[6],u13_icc_r_reg\[6\]/QN,['g179851/A'],1
ic0_int_set[0],u23_int_set_reg\[0\]/QN,['g176238/A1'],1
ic0_int_set[1],,"['g176242/A2', 'g156715/B']",2
ic0_int_set[2],u23_int_set_reg\[2\]/QN,"['g176154/A2', 'g172010/B']",2
ic1_cfg[0],u13_icc_r_reg\[8\]/QN,['g182896/A'],1
ic1_cfg[1],u13_icc_r_reg\[9\]/QN,['g159511/A'],1
ic1_cfg[2],u13_icc_r_reg\[10\]/QN,"['g159918/A', 'g159916/A']",2
ic1_cfg[3],u13_icc_r_reg\[11\]/QN,['g160019/A'],1
ic1_cfg[4],u13_icc_r_reg\[12\]/QN,"['g267/A1', 'g266/A2', 'g159495/A']",3
ic1_cfg[5],u13_icc_r_reg\[13\]/QN,['g266/C'],1
ic1_cfg[6],u13_icc_r_reg\[14\]/QN,['g178721/A'],1
ic1_int_set[0],u24_int_set_reg\[0\]/QN,['g176237/A1'],1
ic1_int_set[1],,"['g176166/A2', 'g156713/B']",2
ic1_int_set[2],u24_int_set_reg\[2\]/QN,"['g176167/A2', 'g154311/B']",2
ic2_cfg[0],u13_icc_r_reg\[16\]/QN,"['g170044/B', 'g170042/A', 'g163689/B2', 'g159885/A', 'g159879/A']",5
ic2_cfg[1],u13_icc_r_reg\[17\]/QN,['g159450/A'],1
ic2_cfg[2],u13_icc_r_reg\[18\]/QN,"['g47/A', 'g159898/A']",2
ic2_cfg[3],u13_icc_r_reg\[19\]/QN,"['g45/A', 'g160051/A']",2
ic2_cfg[4],u13_icc_r_reg\[20\]/QN,"['g163204/B1', 'g156995/A1']",2
ic2_cfg[5],u13_icc_r_reg\[21\]/QN,[],0
ic2_cfg[6],u13_icc_r_reg\[22\]/QN,['g170043/A'],1
ic2_int_set[0],u25_int_set_reg\[0\]/QN,['g176239/A1'],1
ic2_int_set[1],,"['g176241/A2', 'g156714/B']",2
ic2_int_set[2],u25_int_set_reg\[2\]/QN,"['g187484/B', 'g176243/A2']",2
in_slt0[11],u1_slt0_reg\[11\]/QN,"['g155583/B1', 'g153401__4319/B1']",2
in_slt0[12],u1_slt0_reg\[12\]/QN,"['g180237/B2', 'g152964__6417/B1']",2
in_slt0[15],u1_slt0_reg\[15\]/QN,['g152859__2802/B1'],1
in_slt0[9],u1_slt0_reg\[9\]/QN,"['g175346/B1', 'g153994__8246/B1']",2
in_slt1[10],u1_slt1_reg\[10\]/QN,"['g186369/A2', 'g153590__3680/B1']",2
in_slt1[11],u1_slt1_reg\[11\]/QN,['g153402__6260/B1'],1
in_slt1[5],u1_slt1_reg\[5\]/QN,"['g187725/A', 'g156116__5115/B1']",2
in_slt1[6],u1_slt1_reg\[6\]/QN,"['g189273/A1', 'g155592__5477/B1']",2
in_slt1[7],u1_slt1_reg\[7\]/QN,"['g158306/A2', 'g154858__6260/B1']",2
in_slt1[8],u1_slt1_reg\[8\]/QN,"['g193874/A2', 'g154395__7482/B1']",2
in_slt2[10],u1_slt2_reg\[10\]/QN,"['g193552/B1', 'g153589__6783/B1']",2
in_slt2[11],u1_slt2_reg\[11\]/QN,"['g193558/B2', 'g153403__5526/B1']",2
in_slt2[12],u1_slt2_reg\[12\]/QN,"['g193554/B1', 'g152963__7410/B1']",2
in_slt2[13],u1_slt2_reg\[13\]/QN,"['g193570/B1', 'g152879__6161/B1']",2
in_slt2[14],u1_slt2_reg\[14\]/QN,"['g193568/B1', 'g152867__6131/B1']",2
in_slt2[15],u1_slt2_reg\[15\]/QN,"['g193564/B1', 'g152857__5122/B1']",2
in_slt2[16],u1_slt2_reg\[16\]/QN,"['g193555/B1', 'g152845__5526/B1']",2
in_slt2[17],u1_slt2_reg\[17\]/QN,"['g193559/B1', 'g152833__5477/B1']",2
in_slt2[18],u1_slt2_reg\[18\]/QN,"['g193556/B1', 'g152825__2346/B1']",2
in_slt2[19],u1_slt2_reg\[19\]/QN,"['g193562/B1', 'g152816__6161/B1']",2
in_slt2[4],u1_slt2_reg\[4\]/QN,"['g193561/B1', 'g155591/B1']",2
in_slt2[5],u1_slt2_reg\[5\]/QN,"['g193563/B2', 'g155590/B1']",2
in_slt2[6],u1_slt2_reg\[6\]/QN,"['g193569/B1', 'g155589__6417/B1']",2
in_slt2[7],u1_slt2_reg\[7\]/QN,"['g193565/B1', 'g154857__5107/B1']",2
in_slt2[8],u1_slt2_reg\[8\]/QN,"['g193567/B1', 'g154396__4733/B1']",2
in_slt2[9],u1_slt2_reg\[9\]/QN,"['g193557/B1', 'g153995__7098/B1']",2
in_slt3[0],u1_slt3_reg\[0\]/QN,"['g200341/A', 'g156719/B1']",2
in_slt3[10],u1_slt3_reg\[10\]/QN,"['g178338/A', 'g153875__1705/B1']",2
in_slt3[11],u1_slt3_reg\[11\]/QN,"['g160131/A', 'g153341__8428/B1']",2
in_slt3[12],u1_slt3_reg\[12\]/QN,"['g198254/A', 'g152962__1666/B1']",2
in_slt3[13],u1_slt3_reg\[13\]/QN,"['g186722/A', 'g152878__4733/B1']",2
in_slt3[14],u1_slt3_reg\[14\]/QN,"['g198253/A', 'g152866__7098/B1']",2
in_slt3[15],u1_slt3_reg\[15\]/QN,['g152856__1617/B1'],1
in_slt3[16],u1_slt3_reg\[16\]/QN,"['g200347/A1', 'g175719/A', 'g152844__8428/B1']",3
in_slt3[17],u1_slt3_reg\[17\]/QN,"['g200345/A1', 'g186734/A', 'g152832__6417/B1']",3
in_slt3[18],u1_slt3_reg\[18\]/QN,"['g200347/B1', 'g160144/A', 'g152824__2883/B1']",3
in_slt3[19],u1_slt3_reg\[19\]/QN,"['g200345/B1', 'g160140/A', 'g152815__4733/B1']",3
in_slt3[1],u1_slt3_reg\[1\]/QN,"['g200343/B', 'g156720/B1']",2
in_slt3[2],u1_slt3_reg\[2\]/QN,"['g200349/A', 'g198742/B1', 'g156721/B1']",3
in_slt3[3],u1_slt3_reg\[3\]/QN,"['g200348/A', 'g198750/B1', 'g156722/B1']",3
in_slt3[4],u1_slt3_reg\[4\]/QN,"['g198741/A1', 'g156723/B1']",2
in_slt3[5],u1_slt3_reg\[5\]/QN,"['g198740/A1', 'g175711/A', 'g156115__1881/B1']",3
in_slt3[6],u1_slt3_reg\[6\]/QN,"['g38/A', 'g155582__7410/B1']",2
in_slt3[7],u1_slt3_reg\[7\]/QN,"['g169452/A', 'g154840__2398/B1']",2
in_slt3[8],u1_slt3_reg\[8\]/QN,['g154399__9945/B1'],1
in_slt3[9],u1_slt3_reg\[9\]/QN,['g154127__6131/B1'],1
in_slt4[0],u1_slt4_reg\[0\]/QN,"['g191946/B', 'g157156/B1']",2
in_slt4[10],u1_slt4_reg\[10\]/QN,"['g184549/B2', 'g180085/A', 'g153876__2802/B1']",3
in_slt4[11],u1_slt4_reg\[11\]/QN,['g153340__5107/B1'],1
in_slt4[12],u1_slt4_reg\[12\]/QN,"['g181839/B1', 'g152961__2346/B1']",2
in_slt4[13],u1_slt4_reg\[13\]/QN,['g152877__7482/B1'],1
in_slt4[14],u1_slt4_reg\[14\]/QN,"['g181839/A2', 'g152869__1881/B1']",2
in_slt4[15],u1_slt4_reg\[15\]/QN,"['g169439/A', 'g152855__3680/B1']",2
in_slt4[16],u1_slt4_reg\[16\]/QN,"['g158997/A1', 'g152843__4319/B1']",2
in_slt4[17],u1_slt4_reg\[17\]/QN,"['g180073/A', 'g158998/A1', 'g152835__2398/B1']",3
in_slt4[18],u1_slt4_reg\[18\]/QN,"['g158997/B1', 'g152823__9945/B1']",2
in_slt4[19],u1_slt4_reg\[19\]/QN,"['g158998/B1', 'g152814__7482/B1']",2
in_slt4[1],u1_slt4_reg\[1\]/QN,"['g198623/A', 'g157159/B1']",2
in_slt4[2],u1_slt4_reg\[2\]/QN,"['g210420/A', 'g191945/B1', 'g157157/B1']",3
in_slt4[3],u1_slt4_reg\[3\]/QN,"['g198622/B1', 'g187479/A', 'g157158/B1']",3
in_slt4[4],u1_slt4_reg\[4\]/QN,"['g210419/A1', 'g156724/B1']",2
in_slt4[5],u1_slt4_reg\[5\]/QN,"['g187478/A1', 'g156114/B1']",2
in_slt4[6],u1_slt4_reg\[6\]/QN,['g155581__1666/B1'],1
in_slt4[7],u1_slt4_reg\[7\]/QN,['g154839__5477/B1'],1
in_slt4[8],u1_slt4_reg\[8\]/QN,"['g180089/A', 'g154400__9315/B1']",2
in_slt4[9],u1_slt4_reg\[9\]/QN,['g154128__1881/B1'],1
in_slt6[0],u1_slt6_reg\[0\]/QN,"['g213327/A1', 'g155588/B1']",2
in_slt6[10],u1_slt6_reg\[10\]/QN,['g153877__1617/B1'],1
in_slt6[11],u1_slt6_reg\[11\]/QN,"['g188258/A', 'g153339__5477/B1']",2
in_slt6[12],u1_slt6_reg\[12\]/QN,['g152960__2883/B1'],1
in_slt6[13],u1_slt6_reg\[13\]/QN,"['g169460/A', 'g152880__9315/B1']",2
in_slt6[14],u1_slt6_reg\[14\]/QN,"['g160147/A', 'g152870__5115/B1']",2
in_slt6[15],u1_slt6_reg\[15\]/QN,"['g175751/A', 'g152858__1705/B1']",2
in_slt6[16],u1_slt6_reg\[16\]/QN,"['g160110/A', 'g159000/A1', 'g152846__6783/B1']",3
in_slt6[17],u1_slt6_reg\[17\]/QN,"['g175743/A', 'g158992/A1', 'g152836__5107/B1']",3
in_slt6[18],u1_slt6_reg\[18\]/QN,"['g160103/A', 'g159000/B1', 'g152826__1666/B1']",3
in_slt6[19],u1_slt6_reg\[19\]/QN,"['g158992/B1', 'g152817__9315/B1']",2
in_slt6[1],u1_slt6_reg\[1\]/QN,"['g178920/A', 'g155587/B1']",2
in_slt6[2],u1_slt6_reg\[2\]/QN,"['g213327/C1', 'g170134/B1', 'g155586/B1']",3
in_slt6[3],u1_slt6_reg\[3\]/QN,"['g178919/B1', 'g170138/B1', 'g155585/B1']",3
in_slt6[4],u1_slt6_reg\[4\]/QN,"['g170134/A1', 'g160145/A', 'g155584/B1']",3
in_slt6[5],u1_slt6_reg\[5\]/QN,"['g186710/A', 'g170138/A1', 'g155579/B1']",3
in_slt6[6],u1_slt6_reg\[6\]/QN,"['g169464/A', 'g155578__2346/B1']",2
in_slt6[7],u1_slt6_reg\[7\]/QN,['g154838__6417/B1'],1
in_slt6[8],u1_slt6_reg\[8\]/QN,['g154401__6161/B1'],1
in_slt6[9],u1_slt6_reg\[9\]/QN,['g154129__5115/B1'],1
in_valid[0],u2_in_valid_reg\[0\]/QN,['g156877/A'],1
in_valid[1],u2_in_valid_reg\[1\]/QN,['g157198/A'],1
in_valid[2],u2_in_valid_reg\[2\]/QN,['g156879/A'],1
in_valid_s1[0],in_valid_s1_reg\[0\]/QN,['g174970/A'],1
in_valid_s1[1],in_valid_s1_reg\[1\]/QN,['g156876/A'],1
in_valid_s1[2],in_valid_s1_reg\[2\]/QN,['g173250/A'],1
in_valid_s[0],in_valid_s_reg\[0\]/QN,"['g184059/D', 'g183349/B', 'g180237/A2', 'g174972/A']",4
in_valid_s[1],in_valid_s_reg\[1\]/QN,"['g182846/C', 'g167578/A', 'g156643/A', 'g155583/A2']",4
in_valid_s[2],in_valid_s_reg\[2\]/QN,"['g182134/C', 'g175347/B', 'g173254/A', 'g173253/A']",4
net54,drc_bufs164547/Y,['output54/A'],1
ld,u2_ld_reg/QN,"['g156919/A', 'drc_buf_sp165083/A', 'drc_buf_sp165033/A', 'drc_buf_sp165032/A', 'drc_buf_sp165031/A', 'drc_buf_sp165030/A', 'drc_buf_sp165029/A', 'drc_buf_sp165028/A', 'drc_buf_sp165027/A', 'drc_buf_sp165026/A']",10
n_0,,[],0
n_1,g159562/Y,['g168648/D'],1
n_10000,drc_buf_sp165634/Y,"['g212607/A1', 'g187540/A1', 'g179685/A2', 'g178275/A2', 'g172169/B2', 'g165652/A1', 'g165650/A2', 'g165646/A2', 'g165642/A1', 'g165640/A1', 'g165638/A2', 'g165633/A2']",12
n_10001,g165633/Y,['u5_mem_reg\\[3\\]\\[11\\]/D'],1
n_10005,g165638/Y,['u6_mem_reg\\[0\\]\\[11\\]/D'],1
n_10007,g165640/Y,['u5_mem_reg\\[1\\]\\[11\\]/D'],1
n_10009,g165642/Y,['u6_mem_reg\\[1\\]\\[11\\]/D'],1
n_10013,g165646/Y,['u8_mem_reg\\[2\\]\\[11\\]/D'],1
n_10014,g165647/Y,['u5_mem_reg\\[2\\]\\[11\\]/D'],1
n_10017,g165650/Y,['u7_mem_reg\\[2\\]\\[11\\]/D'],1
n_10018,g165651/Y,['u4_mem_reg\\[2\\]\\[11\\]/D'],1
n_10019,g165652/Y,['u8_mem_reg\\[0\\]\\[11\\]/D'],1
n_10022,g165655/Y,['u13_icc_r_reg\\[11\\]/D'],1
n_10025,drc_buf_sp165660/Y,['drc_buf_sp165659/A'],1
n_10026,drc_buf_sp165659/Y,"['g216476/A2', 'g202318/A2', 'g200154/B1', 'g191971/A1', 'g184894/A1', 'g179690/A2', 'g172868/A1', 'g170387/B1', 'g167906/A1', 'g167883/A1', 'g166570/A1', 'g165680/A2', 'g165676/A2']",13
n_10030,g165662/Y,['u5_mem_reg\\[3\\]\\[12\\]/D'],1
n_10034,g165667/Y,['u6_mem_reg\\[0\\]\\[12\\]/D'],1
n_10036,g165669/Y,['u5_mem_reg\\[1\\]\\[12\\]/D'],1
n_10038,g165671/Y,['u6_mem_reg\\[1\\]\\[12\\]/D'],1
n_10042,g165675/Y,['u8_mem_reg\\[2\\]\\[12\\]/D'],1
n_10043,g165676/Y,['u5_mem_reg\\[2\\]\\[12\\]/D'],1
n_10046,g165679/Y,['u7_mem_reg\\[2\\]\\[12\\]/D'],1
n_10047,g165680/Y,['u4_mem_reg\\[2\\]\\[12\\]/D'],1
n_10048,g165681/Y,['u8_mem_reg\\[0\\]\\[12\\]/D'],1
n_10050,g165683/Y,['u13_icc_r_reg\\[12\\]/D'],1
n_10054,,['drc_buf_sp165692/A'],1
n_10057,g165690/Y,['u6_mem_reg\\[0\\]\\[5\\]/D'],1
n_10058,drc_buf_sp165692/Y,"['g202315/A2', 'g200146/B1', 'g186038/A2', 'g178277/A2', 'g172159/B2', 'g169548/A1', 'g165712/A2', 'g165708/A2', 'g165704/A2', 'g165702/A1', 'g165698/A1', 'g165694/A2']",12
n_10061,g165694/Y,['u5_mem_reg\\[3\\]\\[5\\]/D'],1
n_10065,g165698/Y,['u5_mem_reg\\[1\\]\\[5\\]/D'],1
